Date,Close,High,Low,Open,Volume
2018-01-02,4.928532600402832,4.93224137307798,4.808626305798373,4.840271355599246,355616000
2018-01-03,5.252899169921875,5.283308751359066,5.037314533526364,5.045967551442448,914704000
2018-01-04,5.2805891036987305,5.390854021644087,5.258338350305627,5.334238289141166,583268000
2018-01-05,5.325338363647461,5.362669891130359,5.218534649294459,5.295423439853613,580124000
2018-01-08,5.488510608673096,5.562679479781847,5.403957642917104,5.448953814541204,881216000
2018-01-09,5.487026691436768,5.53350589750984,5.405440750658684,5.493949106317687,497000000
2018-01-10,5.530043125152588,5.533504331613579,5.34017048685045,5.394560941459464,582664000
2018-01-11,5.539934158325195,5.594077534291679,5.51842468732009,5.562679101203703,406032000
2018-01-12,5.512738227844238,5.562431543153365,5.472192590731405,5.528066565771384,359916000
2018-01-16,5.441783428192139,5.624733705324499,5.357230940283199,5.539192368368986,702348000
2018-01-17,5.55575704574585,5.565646008468552,5.362423132552919,5.456370400412405,538408000
2018-01-18,5.548835277557373,5.603225757761476,5.505322610461549,5.536473483269462,408632000
2018-01-19,5.689011573791504,5.713240017204968,5.612123282941064,5.6390711781483285,609380000
2018-01-22,5.77752161026001,5.77925221387393,5.639319943950275,5.696924523479651,550944000
2018-01-23,5.906576156616211,5.929321098289492,5.812381333897702,5.830923313653374,475228000
2018-01-24,5.829687595367432,5.945638515235451,5.774060710844489,5.909790026147983,579972000
2018-01-25,5.8432841300964355,5.927342411315297,5.828450454456062,5.884076855995975,409884000
2018-01-26,6.01585054397583,6.016097638287807,5.874187696798124,5.887043674331371,516356000
2018-01-29,6.102875709533691,6.1340270420813825,5.9486044420742274,6.001264298261663,455116000
2018-01-30,6.00076961517334,6.092244971645165,5.894213488467811,5.960965737388814,570832000
2018-01-31,6.076915740966797,6.162704614460354,6.0435396214195,6.0761739865474365,478576000
2018-02-01,5.9458842277526855,6.104111826017726,5.885560206427219,5.896932675059915,519224000
2018-02-02,5.773318290710449,5.883336103665258,5.715219526064751,5.859354748914135,718464000
2018-02-05,5.283308029174805,5.7661482491085225,5.068217610887506,5.61212407970193,1165204000
2018-02-06,5.577017307281494,5.5799838537570805,5.043494462880013,5.053383894240053,1114800000
2018-02-07,5.656625747680664,5.809166896904459,5.604707641396188,5.67590995255354,802932000
2018-02-08,5.377750873565674,5.815347917369131,5.377503307648409,5.782219353651922,1144000000
2018-02-09,5.737717151641846,5.906080817129175,5.377750221389202,5.890258291832957,1674604000
2018-02-12,5.637588977813721,5.82177564678138,5.563420121542526,5.818808628460244,1093172000
2018-02-13,5.751315116882324,5.797547222970472,5.568859050623406,5.601246328630242,625524000
2018-02-14,5.968630313873291,5.997556384695923,5.699891167971812,5.711016543553279,744988000
2018-02-15,6.094223976135254,6.140456088711402,5.971103543738226,6.051947731374953,698900000
2018-02-16,6.0284600257873535,6.180753602150273,6.019312348241568,6.067027962216665,637656000
2018-02-20,6.1580095291137695,6.226986583030645,6.047249948744444,6.050958722084268,686240000
2018-02-21,5.970855712890625,6.229458829968278,5.967147411171281,6.222536415263297,892292000
2018-02-22,5.99039888381958,6.07648834238074,5.924842326398158,6.004747284195494,534364000
2018-02-23,6.083909511566162,6.083909511566162,5.999551739231379,6.050265396158643,415300000
2018-02-26,6.099989891052246,6.134623471587733,6.037648974241224,6.130170650068477,469312000
2018-02-27,6.087125301361084,6.157629638457461,6.064118508703495,6.0732713987129685,455436000
2018-02-28,5.986687660217285,6.137591445047274,5.975060403629006,6.098010078024938,523116000
2018-03-01,5.744498252868652,6.03839008135663,5.643318200480787,5.984460321674532,1040120000
