Date,Close,High,Low,Open,Volume
2018-01-02,111.35301971435547,111.92886049998768,110.94513757604781,111.69693039082522,6842100
2018-01-03,112.41674041748047,112.51270982680411,111.08910663819255,111.4570097133299,5350500
2018-01-04,112.40872955322266,112.8805953471986,112.14480151498964,112.32874692213285,4837600
2018-01-05,113.33647918701172,113.42445520348909,112.19279097280581,112.52070268909755,6158800
2018-01-08,113.48043060302734,113.56840661742574,112.70464544068783,113.32847092328137,5129800
2018-01-09,115.27991485595703,116.51156669205997,113.77632942694966,113.86430542978806,8897000
2018-01-10,115.14397430419922,115.29593399056108,114.62412378061721,114.80806919922728,6558600
2018-01-11,115.79978942871094,115.8877654498892,114.92004142056565,115.27194550527868,4962200
2018-01-12,116.5755386352539,117.10339459924431,115.88772964680284,115.95971888089863,5450600
2018-01-16,117.45526885986328,118.41499896745574,116.79145238284063,117.10336497289894,8804000
2018-01-17,117.55131530761719,118.62302663089928,116.35164883539679,118.23912457316908,10619700
2018-01-18,117.50331115722656,117.91919888246191,116.74352495794173,117.51130453907548,5554800
2018-01-19,117.85521697998047,118.08714709343297,117.10342415129706,117.93519961421187,8738800
2018-01-22,118.47903442382812,118.47903442382812,117.34335187601248,117.57528197370364,7010400
2018-01-23,113.43244171142578,117.91919387259956,113.26448307064311,117.53530409834246,17473600
2018-01-24,113.62439727783203,114.81605796342879,113.40845393202224,114.76807326516803,13034400
2018-01-25,115.48786926269531,115.69581922868389,113.73636674106515,113.81633717106064,7938800
2018-01-26,116.23163604736328,116.44757933458897,115.27190573160802,115.56781942636067,8065600
2018-01-29,114.91202545166016,115.91975291294675,114.79206370800041,115.8477758667509,8013400
2018-01-30,113.91231536865234,115.02401792529217,113.91231536865233,114.68810060099618,8376100
2018-01-31,110.5212631225586,114.02429274539016,110.44928607093148,114.02429274539016,13137400
2018-02-01,111.98484802246094,112.5046985116217,109.56951657581537,109.99339767094918,9393600
2018-02-02,110.11335754394531,112.25676753536567,109.87343406295142,111.18506864147342,9262500
2018-02-05,104.2829818725586,109.56951133841898,97.69281735166193,109.23360627174475,19954100
2018-02-06,105.4346694946289,106.36241432530713,102.3715201992312,103.97906858405072,19193500
2018-02-07,105.10674285888672,106.7142910153415,105.05076478762071,105.48263920751016,10550400
2018-02-08,101.05988311767578,104.97079451666555,100.85993874716785,104.69887310164737,11680200
2018-02-09,103.59516906738281,104.70685920195575,100.3240823222135,101.9876147317776,15030900
2018-02-12,104.18701934814453,105.02678817198135,102.1155924301955,103.97107600404105,9963900
2018-02-13,103.93907928466797,104.45093634735085,102.93135192114838,103.33924621729106,6339000
2018-02-14,103.7071533203125,103.97907475811516,102.68343903382502,103.52320790105034,6259700
2018-02-15,104.95478057861328,104.99477188773744,103.49118653083494,104.05104045130487,5606400
2018-02-16,106.49036407470703,107.53007721496859,104.64288009196216,104.73886168577599,7970100
2018-02-20,104.6668930053711,106.73032072509291,104.49894653955955,106.26644824202633,6563500
2018-02-21,103.89909362792969,105.91452405739719,103.85910231386754,104.61089508514767,6578000
2018-02-22,103.89909362792969,104.78684710411264,103.55518297135795,104.05105329918449,5732200
2018-02-23,105.58662414550781,105.63460884073486,103.98706921854993,104.04304729510294,5126800
2018-02-26,106.30298614501953,107.3815475461064,105.44173856832892,106.01322209737732,6684400
2018-02-27,105.98103332519531,107.12398825310237,105.92469679051042,106.41568559519703,7158600
2018-02-28,104.5402603149414,106.512259923127,104.53220346658301,106.20639444825264,7985900
2018-03-01,102.44749450683594,104.73340362072578,101.83576984134733,103.92046044282374,9424000
