Date,Close,High,Low,Open,Volume,MA_7,MA_14,RSI,MACD,Target
2018-02-07,70.83899688720703,73.04949951171875,70.75749969482422,72.44999694824219,143254000,71.13057054792132,69.63535690307617,63.1868657792983,2.5435943341581293,67.5250015258789
2018-02-08,67.5250015258789,71.6875,67.49700164794922,71.48400115966797,171572000,70.50685664585659,69.8350715637207,51.189657068416835,2.1735638268412885,66.9800033569336
2018-02-09,66.9800033569336,69.17500305175781,63.29650115966797,68.67449951171875,282830000,69.71192823137555,69.8789645603725,49.52432889337729,1.8154082896619173,69.3115005493164
2018-02-12,69.3115005493164,69.69049835205078,67.20050048828125,68.2334976196289,134778000,69.68499973842076,69.96357182094029,56.103511320996816,1.7001020660258632,70.72550201416016
2018-02-13,70.72550201416016,70.98600006103516,69.17649841308594,69.29650115966797,118358000,69.57471466064453,70.16714314052037,59.54730359867332,1.7031858872555006,72.55249786376953
2018-02-14,72.55249786376953,72.60299682617188,70.16799926757812,70.3125,119184000,70.01078578404018,70.42821448189872,63.528661771915715,1.8319357193871184,73.08799743652344
2018-02-15,73.08799743652344,73.4469985961914,71.84200286865234,73.34449768066406,113054000,70.14592851911273,70.64146423339844,64.6275540397026,1.9546492492895453,72.43450164794922
2018-02-16,72.43450164794922,73.29000091552734,72.3280029296875,72.86849975585938,89452000,70.37385777064732,70.75221415928432,62.165916495120705,1.9763864049759547,73.4175033569336
2018-02-20,73.4175033569336,74.4384994506836,72.32450103759766,72.32450103759766,129984000,71.21564374651227,70.86125019618443,64.36470238322286,2.049310108809067,74.14600372314453
2018-02-21,74.14600372314453,75.17449951171875,73.94599914550781,74.25,126088000,72.23935808454242,70.97564315795898,65.94431129499372,2.1412040927770875,74.26699829101562
2018-02-22,74.26699829101562,75.12699890136719,73.78800201416016,74.76799774169922,97162000,72.94728633335659,71.31614303588867,66.21219723307004,2.1984516059408747,75.0
2018-02-23,75.0,75.0,74.32499694824219,74.76699829101562,88362000,73.55792890276227,71.56632178170341,67.86153346082631,2.276723137416198,76.09750366210938
2018-02-26,76.09750366210938,76.14199829101562,75.3499984741211,75.45999908447266,99100000,74.06435830252511,72.03757204328265,70.20659909747044,2.3996515737270556,75.5989990234375
2018-02-27,75.5989990234375,76.33899688720703,75.3604965209961,76.2249984741211,96176000,74.4230728149414,72.28450066702706,67.78710348905885,2.428849818193626,75.62249755859375
