Date,Close,High,Low,Open,Volume,MA_7,MA_14,RSI,MACD,Target
2018-01-26,11171.400390625,11656.7001953125,10470.2998046875,11256.0,9746199552,11441.328822544643,11985.907296316964,38.167766617795536,-853.0819100721092,11440.7001953125
2018-01-27,11440.7001953125,11614.900390625,10989.2001953125,11174.900390625,7583269888,11232.9716796875,11777.37158203125,40.582714129726085,-822.418439939398,11786.2998046875
2018-01-28,11786.2998046875,12040.2998046875,11475.2998046875,11475.2998046875,8350360064,11259.571707589286,11635.535853794643,43.62567258961956,-761.4528641309826,11296.400390625
2018-01-29,11296.400390625,11875.599609375,11179.2001953125,11755.5,7107359744,11311.714564732143,11455.293038504464,40.46228788647594,-744.0905814811595,10106.2998046875
2018-01-30,10106.2998046875,11307.2001953125,10036.2001953125,11306.7998046875,8637859840,11202.843052455357,11356.421595982143,34.01044701957737,-816.9447876111426,10221.099609375
2018-01-31,10221.099609375,10381.599609375,9777.419921875,10108.2001953125,8041160192,11040.22865513393,11287.314453125,35.08571241665982,-855.5565625514591,9170.5400390625
2018-02-01,9170.5400390625,10288.7998046875,8812.2802734375,10237.2998046875,9959400448,10741.820033482143,11122.71728515625,30.23106061882261,-959.8633426857341,8830.75
2018-02-02,8830.75,9142.2802734375,7796.490234375,9142.2802734375,12726899712,10407.44140625,10924.38511439732,28.84106411040571,-1057.7523234832624,9174.91015625
2018-02-03,9174.91015625,9430.75,8251.6298828125,8852.1201171875,7263790080,10083.757114955357,10658.36439732143,32.23944393459185,-1094.9374404359332,8277.009765625
2018-02-04,8277.009765625,9334.8701171875,8031.22021484375,9175.7001953125,7073549824,9582.429966517857,10421.00083705357,28.425279059968545,-1183.2205411132582,6955.27001953125
2018-02-05,6955.27001953125,8364.83984375,6756.68017578125,8270.5400390625,9285289984,8962.268484933036,10136.991524832589,23.936092560335382,-1344.3421462768965,7754.0
2018-02-06,7754.0,7850.7001953125,6048.259765625,7051.75,13999800320,8626.225655691964,9914.534354073661,31.025207729922172,-1391.5405319799374,7621.2998046875
2018-02-07,7621.2998046875,8509.1103515625,7236.7900390625,7755.490234375,9169280000,8254.82568359375,9647.527169363839,30.51634323391214,-1423.2470830032034,8265.58984375
2018-02-08,8265.58984375,8558.76953125,7637.85986328125,7637.85986328125,9346750464,8125.547084263393,9433.683558872768,36.00455725680455,-1380.4727015377775,8736.98046875
2018-02-09,8736.98046875,8736.98046875,7884.7099609375,8271.83984375,6784820224,8112.151436941965,9259.796421595982,39.753951817175995,-1293.6243163265426,8621.900390625
2018-02-10,8621.900390625,9122.5498046875,8295.4697265625,8720.080078125,7780960256,8033.150041852678,9058.453578404018,39.15089575119943,-1220.0187294009156,8129.97021484375
2018-02-11,8129.97021484375,8616.1298828125,7931.10009765625,8616.1298828125,6122189824,8012.144391741072,8797.287179129464,36.59530804917724,-1187.689480397279,8926.5703125
2018-02-12,8926.5703125,8985.919921875,8141.43017578125,8141.43017578125,6256439808,8293.758719308036,8628.013602120536,43.07525908553188,-1085.2789273147591,8598.3095703125
2018-02-13,8598.3095703125,8958.4697265625,8455.41015625,8926.7197265625,5696719872,8414.37437220982,8520.300013950893,41.206392918271746,-1018.8609300905373,9494.6298828125
2018-02-14,9494.6298828125,9518.5400390625,8599.919921875,8599.919921875,7909819904,8681.992954799107,8468.40931919643,47.858548462317614,-883.7117514380498,10166.400390625
2018-02-15,10166.400390625,10234.7998046875,9395.580078125,9488.3203125,9062540288,8953.537318638393,8539.542201450893,52.22174662204014,-714.1663230792565,10233.900390625
2018-02-16,10233.900390625,10324.099609375,9824.8203125,10135.7001953125,7296159744,9167.383021763393,8639.76722935268,52.650497246565955,-567.8083228200394,11112.7001953125
2018-02-17,11112.7001953125,11139.5,10149.400390625,10207.5,8660880384,9523.21156529018,8778.18080357143,57.94216178646548,-376.56593565817275,10551.7998046875
2018-02-18,10551.7998046875,11349.7998046875,10326.0,11123.400390625,8744009728,9869.187220982143,8940.665806361607,53.80873598176706,-267.1849975537698,11225.2998046875
2018-02-19,11225.2998046875,11273.7998046875,10513.2001953125,10552.599609375,7652089856,10197.5771484375,9245.667933872768,57.70987117563443,-124.71634237164471,11403.7001953125
2018-02-20,11403.7001953125,11958.5,11231.7998046875,11231.7998046875,9926540288,10598.347237723214,9506.360804966518,58.70475883805472,2.557037919155846,10690.400390625
2018-02-21,10690.400390625,11418.5,10479.099609375,11372.2001953125,9405339648,10769.171595982143,9725.582275390625,53.30511731806802,45.342100303896586,10005.0
2018-02-22,10005.0,11039.099609375,9939.08984375,10660.400390625,8040079872,10746.11439732143,9849.825857979911,48.67244376936236,23.67062684830489,10301.099609375
2018-02-23,10301.099609375,10487.2998046875,9734.5595703125,9937.0703125,7739500032,10755.714285714286,9961.548653738839,50.667142168715884,30.042283129841962,9813.0703125
2018-02-24,9813.0703125,10597.2001953125,9546.9697265625,10287.7001953125,6917929984,10570.05287388393,10046.632219587054,47.397678854663866,-4.239152675278092,9664.73046875
2018-02-25,9664.73046875,9923.2197265625,9407.0595703125,9796.419921875,5706939904,10443.328683035714,10156.25795200893,46.41722791597076,-42.882895868173364,10366.7001953125
2018-02-26,10366.7001953125,10475.0,9501.73046875,9669.4296875,7287690240,10320.671595982143,10259.12437220982,51.527132105532566,-16.673053847727715,10725.599609375
2018-02-27,10725.599609375,10878.5,10246.099609375,10393.900390625,6966179840,10223.800083705357,10411.073660714286,53.94537478341575,32.68188166441723,10397.900390625
2018-02-28,10397.900390625,11089.7998046875,10393.099609375,10687.2001953125,6936189952,10182.014369419643,10475.592982700893,51.42279902265582,44.8365871179285,10951.0
2018-03-01,10951.0,11052.2998046875,10352.7001953125,10385.0,7317279744,10317.1572265625,10531.635811941964,55.22825461259271,97.97045239925137,11086.400390625
2018-03-02,11086.400390625,11189.0,10850.099609375,10977.400390625,7620590080,10429.343052455357,10592.52866908482,56.13419888793939,149.28424749972692,11489.7001953125
2018-03-03,11489.7001953125,11528.2001953125,11002.400390625,11101.900390625,6690570240,10668.861607142857,10619.457240513393,58.80784978488211,219.95818252502977,11512.599609375
2018-03-04,11512.599609375,11512.599609375,11136.099609375,11497.400390625,6084149760,10932.84291294643,10688.08579799107,58.96080297215714,274.6495870709223,11573.2998046875
2018-03-05,11573.2998046875,11704.099609375,11443.900390625,11532.400390625,6468539904,11105.214285714286,10712.942940848214,59.391244486924236,319.21124909538594,10779.900390625
2018-03-06,10779.900390625,11500.099609375,10694.2998046875,11500.099609375,6832169984,11112.97154017857,10668.385811941964,51.75079678484713,287.195375780846,9965.5703125
2018-03-07,9965.5703125,10929.5,9692.1201171875,10803.900390625,8797910016,11051.21010044643,10616.612234933036,45.308128263530605,193.8780286238034,9395.009765625
2018-03-08,9395.009765625,10147.400390625,9335.8701171875,9951.4404296875,7186089984,10828.92578125,10573.04150390625,41.417509541646965,73.04190926430965,9337.5498046875
2018-03-09,9337.5498046875,9466.349609375,8513.0302734375,9414.6904296875,8704190464,10579.08998325893,10504.216517857143,41.035346288035235,-27.046351041011803,8866.0
2018-03-10,8866.0,9531.3203125,8828.4697265625,9350.58984375,5386319872,10204.275669642857,10436.568638392857,37.94131797194705,-142.77136731180872,9578.6298828125
2018-03-11,9578.6298828125,9711.8896484375,8607.1201171875,8852.7802734375,6296370176,9927.99428013393,10430.41859654018,44.72431265668208,-174.96412311372296,9205.1201171875
2018-03-12,9205.1201171875,9937.5,8956.4296875,9602.9296875,6457399808,9589.682896205357,10347.44859095982,42.12543439841853,-227.98812536606238,9194.849609375
2018-03-13,9194.849609375,9470.3798828125,8958.1904296875,9173.0400390625,5991139840,9363.2470703125,10238.109305245536,42.053071721497794,-267.75229156742716,8269.8095703125
2018-03-14,8269.8095703125,9355.849609375,8068.58984375,9214.650390625,6438230016,9120.995535714286,10086.102818080357,36.046974612459906,-369.64761245875343,8300.8603515625
2018-03-15,8300.8603515625,8428.349609375,7783.0498046875,8290.759765625,6834429952,8964.6884765625,9896.80712890625,36.37545993257809,-442.7906350236535,8338.349609375
2018-03-16,8338.349609375,8585.150390625,8005.31005859375,8322.91015625,5289379840,8821.945591517857,9700.517787388393,36.79755255578157,-492.0597787458846,7916.8798828125
2018-03-17,7916.8798828125,8346.5302734375,7812.81982421875,8321.91015625,4426149888,8686.357003348214,9445.316336495536,34.0616943791498,-558.6749575275935,8223.6796875
2018-03-18,8223.6796875,8245.509765625,7397.990234375,7890.52001953125,6639190016,8492.792689732143,9210.393484933036,37.69317431386388,-580.0256122387327,8630.650390625
2018-03-19,8630.650390625,8675.8701171875,8182.39990234375,8344.1201171875,6729110016,8410.7255859375,9000.20424107143,42.23764695718014,-557.6784552846257,8913.4697265625
2018-03-20,8913.4697265625,9051.01953125,8389.8896484375,8619.669921875,6361789952,8370.52845982143,8866.887765066964,45.2274427108289,-511.25360232232197,8929.2802734375
2018-03-21,8929.2802734375,9177.3701171875,8846.330078125,8937.48046875,6043129856,8464.738560267857,8792.86704799107,45.39759230389649,-467.7933621900629,8728.4697265625
2018-03-22,8728.4697265625,9100.7099609375,8564.900390625,8939.4404296875,5530390016,8525.825613839286,8745.257045200893,43.547246472493335,-444.4314129802897,8879.6201171875
2018-03-23,8879.6201171875,8879.6201171875,8360.6201171875,8736.25,5954120192,8603.149972098214,8712.547781808036,45.352739918056606,-409.00556505405257,8668.1201171875
2018-03-24,8668.1201171875,8996.1796875,8665.7001953125,8901.9501953125,5664600064,8710.470005580357,8698.413504464286,43.26748928220777,-393.46103388615666,8495.7802734375
2018-03-25,8495.7802734375,8682.009765625,8449.099609375,8612.8095703125,4569880064,8749.341517857143,8621.067103794643,41.58946562396098,-390.54629148810454,8209.400390625
2018-03-26,8209.400390625,8530.080078125,7921.43017578125,8498.4697265625,5921039872,8689.16294642857,8549.944266183036,38.890360211531736,-406.6571102725302,7833.0400390625
2018-03-27,7833.0400390625,8232.7802734375,7797.27978515625,8200.0,5378250240,8534.815848214286,8452.672154017857,35.61875229764189,-444.6683255670523,7954.47998046875
2018-03-28,7954.47998046875,8122.89013671875,7809.169921875,7836.830078125,4935289856,8395.558663504464,8430.148611886161,37.44730579602318,-459.69423025181095,7165.7001953125
2018-03-29,7165.7001953125,7994.330078125,7081.3798828125,7979.06982421875,6361229824,8172.305873325893,8349.065743582589,31.240774131930095,-529.1505859545923,6890.52001953125
2018-03-30,6890.52001953125,7276.66015625,6683.93017578125,7171.4501953125,6289509888,7888.148716517857,8245.649344308036,29.409465331689447,-599.4894474825742,6973.52978515625
2018-03-31,6973.52978515625,7207.85009765625,6863.52001953125,6892.47998046875,4553269760,7646.064383370535,8178.267194475447,30.72860403420715,-641.1445919064054,6844.22998046875
2018-04-01,6844.22998046875,7060.9501953125,6526.8701171875,7003.06005859375,4532100096,7410.128627232143,8079.735072544643,29.794628853554528,-676.7884120778508,7083.7998046875
2018-04-02,7083.7998046875,7135.47021484375,6816.580078125,6844.85986328125,4333440000,7249.328543526785,7969.245744977678,33.808937714529165,-677.890810427456,7456.10986328125
2018-04-03,7456.10986328125,7530.93994140625,7072.490234375,7102.259765625,5499700224,7195.481375558035,7865.14861188616,39.58998749157581,-641.3293137431438,6853.83984375
2018-04-04,6853.83984375,7469.8798828125,6803.8798828125,7456.41015625,4936000000,7038.2470703125,7716.902866908482,34.361765848652624,-653.4200023577205,6811.47021484375
2018-04-05,6811.47021484375,6933.81982421875,6644.7998046875,6848.64990234375,5639320064,6987.642787388393,7579.974330357143,34.021382208246806,-658.8262957165607,6636.31982421875
2018-04-06,6636.31982421875,6857.490234375,6575.0,6815.9599609375,3766810112,6951.328473772322,7419.73859514509,32.58442321158084,-669.5261146006496,6911.08984375
2018-04-07,6911.08984375,7050.5400390625,6630.509765625,6630.509765625,3976610048,6942.408482142857,7294.236432756697,37.07457957973434,-648.3602604349708,7023.52001953125
2018-04-08,7023.52001953125,7111.56005859375,6919.97998046875,6919.97998046875,3652499968,6968.021344866072,7189.074986049107,38.86874607954721,-615.4198163917317,6770.72998046875
2018-04-09,6770.72998046875,7178.10986328125,6661.990234375,7044.31982421875,4894060032,6923.297084263393,7086.31281389509,36.358564726284314,-602.7640321076651,6834.759765625
2018-04-10,6834.759765625,6872.41015625,6704.14990234375,6795.43994140625,4272750080,6834.532784598215,7015.007080078125,37.460274769692376,-580.871636691927,6968.31982421875
